,subject,predicate,object,truth
584,http://dbpedia.org/resource/Amazon_(company),http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Alexa_Internet,1
585,http://dbpedia.org/resource/Condé_Nast,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Pitchfork_(website),1
586,http://dbpedia.org/resource/EMI,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Parlophone,1
587,http://dbpedia.org/resource/Access_Industries,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Warner_Music_Group,1
588,http://dbpedia.org/resource/Kris_Aquino__K_Productions__1,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Star_Cinema,1
589,http://dbpedia.org/resource/Compaq,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Digital_Equipment_Corporation,1
590,http://dbpedia.org/resource/Lopez_Holdings_Corporation,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/ABS-CBN_Corporation,1
591,http://dbpedia.org/resource/Vivendi,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Universal_Music_Group,1
592,http://dbpedia.org/resource/Viacom_(1952–2006),http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Simon_&_Schuster,1
593,http://dbpedia.org/resource/CBS_Corporation,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Simon_&_Schuster,1
594,http://dbpedia.org/resource/Gulf_and_Western_Industries,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Simon_&_Schuster,1
595,"http://dbpedia.org/resource/Paramount_Pictures__Paramount_Communications,_Inc.__1",http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Simon_&_Schuster,1
596,http://dbpedia.org/resource/OOh!media,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Junkee_Media,1
597,http://dbpedia.org/resource/Viacom_(2005–2019),http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Paramount_Pictures,1
598,http://dbpedia.org/resource/Viacom_(1952–2006),http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Paramount_Pictures,1
599,http://dbpedia.org/resource/Gulf_and_Western_Industries,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Paramount_Pictures,1
600,http://dbpedia.org/resource/Fenway_Sports_Group,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Boston_Red_Sox,1
601,http://dbpedia.org/resource/Endemol_Shine_Group,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Endemol_Shine_North_America,1
602,http://dbpedia.org/resource/Fox_Corporation,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Fox_Broadcasting_Company,1
603,http://dbpedia.org/resource/Interscope_Communications,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Interscope_Records,1
604,http://dbpedia.org/resource/Penske_Media_Corporation,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Rolling_Stone,1
605,http://dbpedia.org/resource/Viacom_(1952–2006),http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/CBS,1
606,http://dbpedia.org/resource/CBS_Corporation,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/CBS,1
607,http://dbpedia.org/resource/Universal_Pictures,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Film,1
608,http://dbpedia.org/resource/Aeolian_Company,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Vocalion_Records,1
609,http://dbpedia.org/resource/Amazon_(company),http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Amazon_(company),1
610,http://dbpedia.org/resource/Sony_Music_Entertainment_Japan,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Sony_Music_Entertainment_Japan,1
611,http://dbpedia.org/resource/MGM_Television,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/United_Artists,1
612,http://dbpedia.org/resource/Annapurna_Pictures,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/United_Artists,1
613,http://dbpedia.org/resource/Ultra_Super_Pictures,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Liden_Films,1
614,http://dbpedia.org/resource/Mainichi_Broadcasting_System,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/MBS_TV,1
615,"http://dbpedia.org/resource/Tokyo_Broadcasting_System__TBS_Holdings,_Inc.__1",http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/TBS_Television_(Japan),1
616,http://dbpedia.org/resource/United_Nations_Special_Rapporteur_on_Minority_Issues,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/United_Nations_special_rapporteur,1
617,http://dbpedia.org/resource/Amuse_Inc.,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/JVCKenwood_Victor_Entertainment,1
618,http://dbpedia.org/resource/Culture_Convenience_Club,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Esquire_(magazine),1
619,http://dbpedia.org/resource/HBO_Latin_America_Group,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/HBO,1
620,http://dbpedia.org/resource/Nokia,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Bell_Labs,1
621,http://dbpedia.org/resource/Microsoft,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/GitHub,1
622,http://dbpedia.org/resource/Lufthansa_Group,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Lufthansa,1
623,http://dbpedia.org/resource/EMI,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Virgin_Records,1
